Device_ID,User_ID,Device_type,Device_token
1,20,Motorola A830,3D-A0-49-FE-C8-3A
2,1,Motorola DROID Maxx,1F-F8-F5-0A-06-0A
3,3,Sony Ericsson Xperia PLAY,69-E2-EF-EF-BC-BE
4,19,Vodafone 247 Solar,93-27-2B-87-B9-C8
5,5,NEC N600i,B3-14-76-FA-6C-EC
6,6,alcatel Idol 4s Windows,52-5E-FC-90-D8-3D
7,7,Sony Ericsson V630,F0-90-DF-AD-92-A7
8,17,Samsung P7500 Galaxy Tab 10.1 3G,2B-E4-B1-F8-95-CE
9,16,Philips X650,37-84-FE-E4-67-E9
10,10,Sendo S200,21-74-AE-A3-A7-CB
11,15,verykool s5037 Apollo Quattro,A1-DC-9B-7C-7D-0C
12,12,Toshiba 904T,D6-D0-AC-C6-04-33
13,2,Samsung D820,CC-BD-F4-2B-23-F5
14,8,Samsung C240,9F-25-18-EB-E8-29
15,11,Sony Xperia Z2,79-DE-29-00-E5-24
16,18,Samsung E500,EA-E2-17-A3-DE-12
17,14,Honor Holly 3,FF-B3-55-DD-C6-8E
18,9,Samsung D500,B5-2F-19-E5-99-ED
19,13,Nokia 5235 Comes With Music,DD-08-97-F1-1E-DA
20,4,Sharp Aquos R2 compact,56-B9-8A-50-C1-9A
